Aug 22 13:31:57 ip-172-26-8-199 python[158739]: 13:31:57 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 13:40:03 ip-172-26-8-199 python[117657]: 13:40:03 INFO    chasebot.pregame | snapshot: 1 markets recorded
Aug 22 13:42:02 ip-172-26-8-199 python[158739]: 13:42:02 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 13:52:02 ip-172-26-8-199 python[158739]: 13:52:02 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 13:55:04 ip-172-26-8-199 python[117657]: 13:55:04 INFO    chasebot.pregame | snapshot: 1 markets recorded
Aug 22 14:02:03 ip-172-26-8-199 python[158739]: 14:02:03 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 14:10:04 ip-172-26-8-199 python[117657]: 14:10:04 INFO    chasebot.pregame | snapshot: 1 markets recorded
Aug 22 14:12:07 ip-172-26-8-199 python[158739]: 14:12:07 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 14:22:11 ip-172-26-8-199 python[158739]: 14:22:11 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 14:25:05 ip-172-26-8-199 python[117657]: 14:25:05 INFO    chasebot.pregame | snapshot: 1 markets recorded
Aug 22 14:32:12 ip-172-26-8-199 python[158739]: 14:32:12 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 14:40:05 ip-172-26-8-199 python[117657]: 14:40:05 INFO    chasebot.pregame | snapshot: 2 markets recorded
Aug 22 14:42:13 ip-172-26-8-199 python[158739]: 14:42:13 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 14:52:14 ip-172-26-8-199 python[158739]: 14:52:14 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 14:55:06 ip-172-26-8-199 python[117657]: 14:55:06 INFO    chasebot.pregame | snapshot: 2 markets recorded
Aug 22 15:02:15 ip-172-26-8-199 python[158739]: 15:02:15 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 15:10:07 ip-172-26-8-199 python[117657]: 15:10:07 INFO    chasebot.pregame | snapshot: 2 markets recorded
Aug 22 15:12:19 ip-172-26-8-199 python[158739]: 15:12:19 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 15:22:19 ip-172-26-8-199 python[158739]: 15:22:19 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 15:25:08 ip-172-26-8-199 python[117657]: 15:25:08 INFO    chasebot.pregame | snapshot: 2 markets recorded
Aug 22 15:32:24 ip-172-26-8-199 python[158739]: 15:32:24 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 15:40:08 ip-172-26-8-199 python[117657]: 15:40:08 INFO    chasebot.pregame | snapshot: 2 markets recorded
Aug 22 15:42:26 ip-172-26-8-199 python[158739]: 15:42:26 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 15:52:30 ip-172-26-8-199 python[158739]: 15:52:30 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 15:55:09 ip-172-26-8-199 python[117657]: 15:55:09 INFO    chasebot.pregame | snapshot: 2 markets recorded
Aug 22 16:02:30 ip-172-26-8-199 python[158739]: 16:02:30 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 16:10:10 ip-172-26-8-199 python[117657]: 16:10:10 INFO    chasebot.pregame | snapshot: 3 markets recorded
Aug 22 16:12:34 ip-172-26-8-199 python[158739]: 16:12:34 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 16:22:36 ip-172-26-8-199 python[158739]: 16:22:36 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 16:25:10 ip-172-26-8-199 python[117657]: 16:25:10 INFO    chasebot.pregame | snapshot: 3 markets recorded
Aug 22 16:32:37 ip-172-26-8-199 python[158739]: 16:32:37 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 16:40:11 ip-172-26-8-199 python[117657]: 16:40:11 INFO    chasebot.pregame | snapshot: 3 markets recorded
Aug 22 16:42:38 ip-172-26-8-199 python[158739]: 16:42:38 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 16:52:43 ip-172-26-8-199 python[158739]: 16:52:43 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 16:55:12 ip-172-26-8-199 python[117657]: 16:55:12 INFO    chasebot.pregame | snapshot: 3 markets recorded
Aug 22 17:02:44 ip-172-26-8-199 python[158739]: 17:02:44 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 17:10:12 ip-172-26-8-199 python[117657]: 17:10:12 INFO    chasebot.pregame | snapshot: 3 markets recorded
Aug 22 17:12:48 ip-172-26-8-199 python[158739]: 17:12:48 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 17:22:50 ip-172-26-8-199 python[158739]: 17:22:50 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 17:25:13 ip-172-26-8-199 python[117657]: 17:25:13 INFO    chasebot.pregame | snapshot: 3 markets recorded
Aug 22 17:32:51 ip-172-26-8-199 python[158739]: 17:32:51 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 17:40:14 ip-172-26-8-199 python[117657]: 17:40:14 INFO    chasebot.pregame | snapshot: 2 markets recorded
Aug 22 17:42:55 ip-172-26-8-199 python[158739]: 17:42:55 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 17:52:56 ip-172-26-8-199 python[158739]: 17:52:56 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 17:55:14 ip-172-26-8-199 python[117657]: 17:55:14 INFO    chasebot.pregame | snapshot: 2 markets recorded
Aug 22 18:02:57 ip-172-26-8-199 python[158739]: 18:02:57 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 18:10:15 ip-172-26-8-199 python[117657]: 18:10:15 INFO    chasebot.pregame | snapshot: 2 markets recorded
Aug 22 18:12:59 ip-172-26-8-199 python[158739]: 18:12:59 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 18:23:00 ip-172-26-8-199 python[158739]: 18:23:00 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 18:25:16 ip-172-26-8-199 python[117657]: 18:25:16 INFO    chasebot.pregame | snapshot: 2 markets recorded
Aug 22 18:33:01 ip-172-26-8-199 python[158739]: 18:33:01 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 18:40:16 ip-172-26-8-199 python[117657]: 18:40:16 INFO    chasebot.pregame | snapshot: 5 markets recorded
Aug 22 18:43:06 ip-172-26-8-199 python[158739]: 18:43:06 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 18:53:07 ip-172-26-8-199 python[158739]: 18:53:07 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 18:55:17 ip-172-26-8-199 python[117657]: 18:55:17 INFO    chasebot.pregame | [PREGAME BET] aec-mlb-cle-col-2026-08-22 x35 @ 0.570 (fair 0.605, edge 3.5c across 8 books)
Aug 22 18:55:18 ip-172-26-8-199 python[117657]: 18:55:18 INFO    chasebot.pregame | snapshot: 6 markets recorded
Aug 22 19:03:10 ip-172-26-8-199 python[158739]: 19:03:10 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 19:10:19 ip-172-26-8-199 python[117657]: 19:10:19 INFO    chasebot.pregame | [PREGAME BET] aec-mlb-atl-mil-2026-08-22 x93 @ 0.215 (fair 0.466, edge 25.1c across 8 books)
Aug 22 19:10:19 ip-172-26-8-199 python[117657]: 19:10:19 INFO    chasebot.pregame | snapshot: 6 markets recorded
Aug 22 19:13:11 ip-172-26-8-199 python[158739]: 19:13:11 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 19:20:19 ip-172-26-8-199 python[117657]: 19:20:19 INFO    chasebot.pregame | [PREGAME TAKE-PROFIT] aec-mlb-atl-mil-2026-08-22: entry 0.215 -> bid 0.325 (+51.2%), selling 93 shares
Aug 22 19:23:13 ip-172-26-8-199 python[158739]: 19:23:13 INFO    chasebot.mmprobe | probe watching 0 markets:
Aug 22 19:25:20 ip-172-26-8-199 python[117657]: 19:25:20 INFO    chasebot.pregame | snapshot: 7 markets recorded
